time,Cinternal,Cwater,sampling_date
0.083,23,1.485,1
0.084,19,1.485,1
0.085,20,1.485,1
0.086,21,1.485,1
0.087,23,1.485,1
0.299,44,1.485,2
0.3,72,1.485,2
0.301,33,1.485,2
0.302,71,1.485,2
0.303,45,1.485,2
0.521,43,1.485,3
0.522,76,1.485,3
0.523,53,1.485,3
0.524,112,1.485,3
0.525,73,1.485,3
0.983,102,1.485,4
0.984,78,1.485,4
0.985,96,1.485,4
0.986,126,1.485,4
0.987,80,1.485,4
0.988,72,1.485,4
0.989,115,1.485,4
0.99,70,1.485,4
0.991,88,1.485,4
0.992,78,1.485,4
1.073,120,1.485,5
1.074,93,1.485,5
1.075,89,1.485,5
1.076,70,1.485,5
1.077,91,1.485,5
1.167,97,1.485,6
1.168,62,1.485,6
1.169,49,1.485,6
1.17,94,1.485,6
1.171,113,1.485,6
1.302,59,1.485,7
1.303,42,1.485,7
1.304,71,1.485,7
1.305,62,1.485,7
1.306,42,1.485,7
1.524,31,1.485,8
1.525,65,1.485,8
1.526,32,1.485,8
1.527,64,1.485,8
1.528,51,1.485,8
2.013,27,1.485,9
2.014,40,1.485,9
2.015,41,1.485,9
2.016,49,1.485,9
2.017,40,1.485,9
3.007,35,1.485,10
3.008,41,1.485,10
3.009,31,1.485,10
3.01,43,1.485,10
3.011,47,1.485,10
4.007,21,1.485,11
4.008,36,1.485,11
4.009,28,1.485,11
4.01,26,1.485,11
4.011,30,1.485,11
7.014,14,1.485,12
7.015,18,1.485,12
7.016,0,1.485,12
7.017,0,1.485,12
7.018,0,1.485,12
7.019,27,1.485,12
7.02,8,1.485,12
7.021,23,1.485,12
7.022,22,1.485,12
7.023,14,1.485,12
